Body Name,Date,Transaction Number,Amount,Supplier,Expense Area,Directorate Name,Cost Centre Name,Subjective,Supplier Size,Merchant Category Code,Merchant Category Label
City of Westminster Council,08/01/2014,SCC:PCA:8094,5.84,AMT COFFEE LONDON BRID,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,08/01/2014,SCC:PCA:8095,48.94,ARGOS RETAIL GROUP,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,08/01/2014,SCC:PCA:8096,11.58,ARROW ELECTRICAL,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,08/01/2014,SCC:PCA:8097,20,CARPHONE WAREHOUSE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,08/01/2014,SCC:PCA:8098,497.76,"CENTER PARCS, INTERNET",Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,08/01/2014,SCC:PCA:8099,101,CITY LIT,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,,
City of Westminster Council,08/01/2014,SCC:PCA:8099,250,CITY LIT,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,,
City of Westminster Council,08/01/2014,SCC:PCA:8100,45.83,CURRYS.DIGITAL,Finance,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000691,White Goods Suppliers
City of Westminster Council,08/01/2014,SCC:PCA:8101,24,EURO LOCKSMITHS,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,08/01/2014,SCC:PCA:8102,13.4,HAILO LONDON TAXI,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,08/01/2014,SCC:PCA:8103,12,HOUSE OF FRASER,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,08/01/2014,SCC:PCA:8104,10,LUL TICKET MACHINE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,08/01/2014,SCC:PCA:8104,30,LUL TICKET MACHINE,Children Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,08/01/2014,SCC:PCA:8105,11,LUL TICKET OFFICE.,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
